name	paper	last	bid	offer	change	open	low	high	prev_price	volume	bid_depth_total	offer_depth_total
Byggma	BMA	0	89.	90.	0	0	0	0	92	0	520	8474
ContextVision	COV	0	59.	59.	0	0	0	0	59	0	859	3433
Crayon Group Holding	CRAYON	0	14.	14.2	0	0	0	0	14	0	37815	53946
Cxense	CXENSE	0	58.5	58.5	0	0	0	0	56	0	3600	12081
DNB	DNB	0	148.1	148.1	0	0	0	0	154.2	1030000	18050	91712
DNB OBX	OBXEDNB	0	69.6	71.	0	0	0	0	70.5	0	3535	5688
DNO	DNO	0	9.53	9.53	0	0	0	0	9.51	113500	525138	1346828
DOF	DOF	0	0.61	0.61	0	0	0	0	0.6	0	12369455	10508962
Data Respons	DAT	0	23.1	23.1	0	0	0	0	23.9	0	5495	16276
EMAS Offshore	EMAS	0	0	0	0	0	0	0	0.29	0	0	0
EVRY	EVRY	0	31.4	31.8	0	0	0	0	31.4	0	10010	16908
Eidesvik Offshore	EIOF	0	8.	8.2	0	0	0	0	8.12	0	10570	24000
Ekornes	EKO	0	115.	116.	0	0	0	0	116	0	14298	13417
Electromagnetic Geoservices	EMGS	0	3.8	3.8	0	0	0	0	3.79	0	136488	152140
Element	ELE	0	3.51	3.51	0	0	0	0	3.51	0	694660	717519
Entra	ENTRA	0	118.	118.	0	0	0	0	117.5	0	4733	11659
Europris	EPR	0	33.	33.	0	0	0	0	33	0	31416	131133
FLEX LNG	FLNG	0	13.25	13.35	0	0	0	0	13.2	0	240016	127605
Fjord1	FJORD	0	43.	43.	0	0	0	0	43	0	27486	114971
Fred. Olsen Energy	FOE	0	21.	21.	0	0	0	0	21.2	0	111399	96472
Frontline	FRO	0	39.	39.	0	0	0	0	39	80000	61065	101710
Funcom	FUNCOM	0	2.82	2.82	0	0	0	0	2.82	0	926532	2729012
GC Rieber Shipping	RISH	0	10.1	10.7	0	0	0	0	10.3	0	1430	12260
Gaming Innovation Group	GIG	0	4.73	4.73	0	0	0	0	4.73	0	195222	322914
Gjensidige Forsikring	GJF	0	153.	154.	0	0	0	0	153	0	20888	56390
Golden Ocean Group	GOGL	0	67.3	67.3	0	0	0	0	67.25	0	28777	329229
Goodtech	GOD	0	6.5	6.5	0	0	0	0	6.6	0	18420	26937
Grieg Seafood	GSF	0	67.	67.	0	0	0	0	67.95	0	11596	81106
Gyldendal	GYL	0	339.	0	0	0	0	0	370	0	5350	0
Havila Shipping	HAVI	0	0.13	0.13	0	0	0	0	0.13	0	73038839	33077513
Havyard Group	HYARD	0	9.46	9.97	0	0	0	0	9.46	0	15037	12414
Helgeland Sparebank	HELG	0	89.	90.	0	0	0	0	90	0	337	8568
Hexagon Composites	HEX	0	26.6	26.7	0	0	0	0	26.6	0	29172	40280
Hiddn Solutions	HIDDN	0	2.09	2.09	0	0	0	0	2.09	0	150200	165934
Höegh LNG Holdings	HLNG	0	64.	64.75	0	0	0	0	64	0	31800	31719
Høland og Setskog Sparebank	HSPG	0	96.	102.	0	0	0	0	102	0	200	1943
I.M. Skaugen	IMSK	0	2.06	2.25	0	0	0	0	2.1	0	87400	114616
IDEX	IDEX	0	5.4	5.4	0	0	0	0	5.4	0	84554	276620
Incus Investor	INC	0	1.11	1.18	0	0	0	0	1.11	0	224700	300299
Indre Sogn Sparebank	ISSG	0	79.25	81.5	0	0	0	0	81.5	0	1124	2354
Infront	INFRNT	0	23.9	24.5	0	0	0	0	24	0	7528	2450
Insr Insurance Group	INSR	0	6.95	7.15	0	0	0	0	7.05	0	7683	26223
InterOil Exploration and Production	IOX	0	2.07	2.07	0	0	0	0	2.08	0	291128	244500
Itera	ITE	0	6.95	7.24	0	0	0	0	6.95	0	9929	123935
Jinhui Shipping and Transportation	JIN	0	8.66	8.74	0	0	0	0	8.74	0	59675	423336
Jæren Sparebank	JAEREN	0	132.	134.5	0	0	0	0	134	0	800	710
Kid	KID	0	43.	44.3	0	0	0	0	44.3	0	9339	7415
Kitron	KIT	0	6.8	6.84	0	0	0	0	6.83	0	44196	148339
Komplett Bank	KOMP	0	18.8	18.8	0	0	0	0	19.2	0	157653	191373
Kongsberg Automotive	KOA	0	11.55	11.55	0	0	0	0	11.55	0	140402	278960
Kongsberg Gruppen	KOG	0	151.5	151.5	0	0	0	0	152	0	9407	27400
Kværner	KVAER	0	15.6	15.7	0	0	0	0	15.8	0	42712	122556
Lerøy Seafood Group	LSG	0	41.89	41.89	0	0	0	0	41.89	0	28671	113989
Link Mobility Group	LINK	0	131.	133.	0	0	0	0	131.5	0	11501	12129
Marine Harvest	MHG	0	135.6	135.6	0	0	0	0	135	31200	117911	218490
Medistim	MEDI	0	70.	76.	0	0	0	0	73	0	1500	6334
Melhus Sparebank	MELG	0	119.5	121.	0	0	0	0	119.5	0	4495	7180
Multiconsult	MULTI	0	69.	70.	0	0	0	0	69	0	6098	2580
NEL	NEL	0	3.41	3.41	0	0	0	0	3.4	0	1637213	3095708
NEXT Biometrics Group	NEXT	0	61.5	61.75	0	0	0	0	61.75	0	27277	26703
NRC Group	NRC	0	60.	60.	0	0	0	0	60	0	10874	36106
NTS	NTS	0	43.	44.	0	0	0	0	43.4	0	11485	8362
Napatech	NAPA	0	18.6	19.7	0	0	0	0	19.5	0	11555	21422
Navamedic	NAVA	0	10.	10.4	0	0	0	0	10.25	0	16500	29724
NextGenTel Holding	NGT	0	18.	18.7	0	0	0	0	18.1	0	10330	26336
Nordic Nanovector	NANO	0	82.5	82.5	0	0	0	0	82.45	0	18406	43886
Nordic Semiconductor	NOD	0	41.9	42.	0	0	0	0	42	0	46418	119773
Norsk Hydro	NHY	0	61.1	61.1	0	0	0	0	61.15	65000	72341	201937
Norske Skogindustrier	NSG	0	0	0	0	0	0	0	0.25	0	0	0
Norway Royal Salmon	NRS	0	129.	129.5	0	0	0	0	129	0	8866	7335
Norwegian Air Shuttle	NAS	0	171.5	171.5	0	0	0	0	171.5	45500	21397	97224
Norwegian Energy Company	NOR	0	285.	290.	0	0	0	0	290	0	2348	3875
Norwegian Finans Holding	NOFI	0	92.	92.	0	0	0	0	92	0	16296	37322
Norwegian Property	NPRO	0	10.5	10.6	0	0	0	0	10.55	0	119435	213730
Ocean Yield	OCY	0	68.5	68.5	0	0	0	0	68.5	0	30411	48184
Oceanteam	OTS	0	1.43	1.6	0	0	0	0	1.58	0	36130	41681
Odfjell Drilling	ODL	0	35.8	35.8	0	0	0	0	35.2	0	43689	62663
Odfjell ser. A	ODF	0	30.	31.5	0	0	0	0	31.5	0	8996	7469
Odfjell ser. B	ODFB	0	30.7	31.	0	0	0	0	30.3	0	4411	4200
Olav Thon Eiendomsselskap	OLT	0	158.	161.	0	0	0	0	161	0	4208	14994
Opera Software	OPERA	0	26.5	26.5	0	0	0	0	26.5	0	20172	33831
Orkla	ORK	0	85.75	85.75	0	0	0	0	86	21200	47611	43563
Panoro Energy	PEN	0	5.9	6.	0	0	0	0	6	0	99107	215895
Pareto Bank	PARB	0	38.	38.4	0	0	0	0	37.8	0	24200	23438
Petroleum Geo-Services	PGS	0	15.7	15.7	0	0	0	0	15.87	10000	150677	206715
Petrolia	PDR	0	2.5	2.7	0	0	0	0	2.42	0	26120	61747
Photocure	PHO	0	25.2	25.4	0	0	0	0	25.5	0	22471	31177
Polarcus	PLCS	0	1.	1.	0	0	0	0	0.99	0	1400662	1246844
Polaris Media	POL	0	19.	20.	0	0	0	0	19	0	12600	1433
Prosafe	PRS	0	10.15	10.15	0	0	0	0	10.15	0	67761	44417
Protector Forsikring	PROTCT	0	89.	89.75	0	0	0	0	89.75	0	7366	23491
Q-Free	QFR	0	7.82	7.85	0	0	0	0	7.85	0	51500	57157
Questerre Energy Corporation	QEC	0	6.15	6.15	0	0	0	0	6.12	0	233814	908107
RAK Petroleum	RAKP	0	9.03	9.3	0	0	0	0	9.2	0	1000	164376
REC Silicon	REC	0	1.26	1.26	0	0	0	0	1.324	0	2867976	5752651
Reach Subsea	REACH	0	2.	2.05	0	0	0	0	2.06	0	36766	122528
S.D. Standard Drilling	SDSD	0	1.38	1.39	0	0	0	0	1.38	0	695053	664817
SAS AB	SAS-NOK	0	23.	23.	0	0	0	0	23	0	655	48058
Saferoad Holding	SAFE	0	23.3	23.3	0	0	0	0	23.3	0	8296	13919
SalMar	SALM	0	236.	236.	0	0	0	0	235.6	0	14700	27751
Sandnes Sparebank	SADG	0	54.	55.75	0	0	0	0	55.5	0	2175	7451
Sbanken	SBANK	0	82.	82.	0	0	0	0	83.25	0	13823	70132
Scatec Solar	SSO	0	48.5	48.5	0	0	0	0	48.5	0	32584	76994
Schibsted ser. A	SCHA	0	232.	232.	0	0	0	0	232.9	0	1029	18062
Schibsted ser. B	SCHB	0	214.	214.	0	0	0	0	213.5	0	2025	7936
SeaBird Exploration	SBX	0	0.24	0.25	0	0	0	0	0.24	0	1517053	1087605
Seadrill	SDRL	0	2.18	2.18	0	0	0	0	2.16	0	338459	764879
Self Storage Group	SSG	0	16.5	16.5	0	0	0	0	16.2	0	42852	12701
Selvaag Bolig	SBO	0	31.4	31.4	0	0	0	0	31.4	0	52939	44463
Sevan Drilling	SEVDR	0	0	0	0	0	0	0	1.29	0	0	0
Sevan Marine	SEVAN	0	14.	14.	0	0	0	0	14	0	134912	60388
Siem Offshore	SIOFF	0	1.82	2.1	0	0	0	0	2.09	0	15000	60444
Skue Sparebank	SKUE	0	120.	123.	0	0	0	0	122.5	0	1771	1835
Solon Eiendom	SOLON	0	22.5	22.5	0	0	0	0	21.7	0	154338	61003
Solstad Farstad	SOFF	0	6.45	6.45	0	0	0	0	6.35	0	462216	354609
Solvang	SOLV	0	32.	32.9	0	0	0	0	33	0	26000	2311
Songa Offshore	SONG	0	51.75	55.	0	0	0	0	56.25	0	493	33591
SpareBank 1 BV	SBVG	0	33.6	34.	0	0	0	0	34	0	5	24472
SpareBank 1 Nord-Norge	NONG	0	62.	63.	0	0	0	0	62	0	1477	29421
SpareBank 1 Nordvest	SNOR	0	113.5	113.5	0	0	0	0	113	0	2144	4562
SpareBank 1 Ringerike Hadeland	RING	0	189.	196.5	0	0	0	0	188	0	10100	924
SpareBank 1 SMN	MING	0	83.5	83.5	0	0	0	0	83.25	0	12080	15081
SpareBank 1 SR-Bank	SRBANK	0	89.	89.	0	0	0	0	89.5	0	5784	44911
SpareBank 1 Østfold Akershus	SOAG	0	185.	0	0	0	0	0	192	0	2000	0
SpareBank 1 Østlandet	SPOL	0	88.75	90.	0	0	0	0	88.5	0	2600	10096
Sparebanken Møre	MORG	0	256.	263.	0	0	0	0	262	0	1004	1574
Sparebanken Sør	SOR	0	100.5	101.5	0	0	0	0	101.5	0	3400	2670
Sparebanken Vest	SVEG	0	54.75	54.75	0	0	0	0	54.75	0	10931	14781
Sparebanken Øst	SPOG	0	55.	55.	0	0	0	0	55	0	12611	35340
Spectrum	SPU	0	34.2	36.3	0	0	0	0	36.3	0	1885	9076
Statoil	STL	0	172.4	172.4	0	0	0	0	174.5	15000	211504	243375
Stolt-Nielsen	SNI	0	107.	107.	0	0	0	0	107	0	13950	14700
Storebrand	STB	0	66.	66.	0	0	0	0	66	145800	19910	181658
Storm Real Estate	STORM	0	0.62	0.63	0	0	0	0	0.68	0	72000	178357
StrongPoint	STRONG	0	11.	11.2	0	0	0	0	10.9	0	30210	25660
Subsea 7	SUBC	0	114.1	114.1	0	0	0	0	122.2	5200	18896	41299
TGS-NOPEC Geophysical Company	TGS	0	193.	193.	0	0	0	0	193.2	66700	126	7765
TTS Group	TTS	0	4.	4.	0	0	0	0	4.06	0	64382	37825
Targovax	TRVX	0	16.5	16.7	0	0	0	0	16.5	0	28796	220875
Team Tankers International	TEAM	0	8.7	9.25	0	0	0	0	9.09	0	200	7211
Techstep	TECH	0	3.28	3.48	0	0	0	0	3.45	0	6435	44889
Telenor	TEL	0	180.	180.	0	0	0	0	177.2	100000	23312	42247
The Scottish Salmon Company	SSC	0	8.	8.	0	0	0	0	8	0	20005	97886
Thin Film Electronics	THIN	0	2.27	2.27	0	0	0	0	2.3	165000	931441	2463952
Tomra Systems	TOM	0	126.	126.	0	0	0	0	124.5	0	8724	6945
Totens Sparebank	TOTG	0	122.5	123.	0	0	0	0	123	0	4400	6106
Treasure	TRE	0	13.9	14.25	0	0	0	0	14.05	0	5575	30822
Veidekke	VEI	0	88.75	88.75	0	0	0	0	88	0	22630	46374
Voss Veksel- og Landmandsbank	VVL	0	119.	127.5	0	0	0	0	124	0	2100	350
Wallenius Wilhelmsen Logistics	WWL	0	57.5	58.	0	0	0	0	57.5	0	17608	47847
Webstep	WSTEP	0	24.8	25.1	0	0	0	0	25	0	968	28079
Wentworth Resources	WRL	0	2.97	2.99	0	0	0	0	2.99	0	156041	213863
Wilh. Wilhelmsen Holding ser. A	WWI	0	241.	244.	0	0	0	0	241	0	3066	4165
Wilh. Wilhelmsen Holding ser. B	WWIB	0	236.	242.	0	0	0	0	241.5	0	1550	3759
Wilson	WILS	0	12.25	16.5	0	0	0	0	14.15	0	7986	1670
XACT OBX	OBXEXACT	0	71.35	71.35	0	0	0	0	70.95	0	3318	400
XACT OBX  Bear	OBXEXDBEAR	0	38.	38.2	0	0	0	0	38.47	0	25500	85403
XACT OBX Bull	OBXEXDBULL	0	164.	164.	0	0	0	0	163.55	0	9320	1875
XXL	XXL	0	84.25	84.25	0	0	0	0	84.25	0	9304	59918
Yara International	YAR	0	377.	377.	0	0	0	0	378.8	38900	30968	21993
Zalaris	ZAL	0	54.	55.75	0	0	0	0	54	0	1895	1350
